Year,Size,Acc_type,Acc_value
Training_sample_huadong_2005_2007,95.00,acc_test,0.9335714285714286
Training_sample_huadong_2005_2007,95.00,acc_RF,0.9618218352310783
Training_sample_huadong_2008_2010,0.10,acc_test,0.8107913669064748
Training_sample_huadong_2008_2010,0.10,acc_RF,0.6666666666666666
Training_sample_huadong_2008_2010,0.40,acc_test,0.8410071942446044
Training_sample_huadong_2008_2010,0.40,acc_RF,0.88
Training_sample_huadong_2008_2010,0.70,acc_test,0.8366906474820144
Training_sample_huadong_2008_2010,0.70,acc_RF,0.8636363636363636
Training_sample_huadong_2008_2010,1.00,acc_test,0.8474820143884892
Training_sample_huadong_2008_2010,1.00,acc_RF,0.9032258064516129
Training_sample_huadong_2008_2010,1.50,acc_test,0.8884892086330936
Training_sample_huadong_2008_2010,1.50,acc_RF,0.9680851063829787
Training_sample_huadong_2008_2010,10.00,acc_test,0.9035971223021583
Training_sample_huadong_2008_2010,10.00,acc_RF,0.9459459459459459
Training_sample_huadong_2008_2010,15.00,acc_test,0.9129496402877698
Training_sample_huadong_2008_2010,15.00,acc_RF,0.951271186440678
Training_sample_huadong_2008_2010,2.00,acc_test,0.8920863309352518
Training_sample_huadong_2008_2010,2.00,acc_RF,0.912
Training_sample_huadong_2008_2010,20.00,acc_test,0.9064748201438849
Training_sample_huadong_2008_2010,20.00,acc_RF,0.9531374106433678
Training_sample_huadong_2008_2010,25.00,acc_test,0.9057553956834532
Training_sample_huadong_2008_2010,25.00,acc_RF,0.951048951048951
Training_sample_huadong_2008_2010,30.00,acc_test,0.9035971223021583
Training_sample_huadong_2008_2010,30.00,acc_RF,0.9496822033898306
Training_sample_huadong_2008_2010,35.00,acc_test,0.9122302158273381
Training_sample_huadong_2008_2010,35.00,acc_RF,0.9523377212891512
Training_sample_huadong_2008_2010,40.00,acc_test,0.9122302158273381
Training_sample_huadong_2008_2010,40.00,acc_RF,0.9539133889551052
Training_sample_huadong_2008_2010,45.00,acc_test,0.9100719424460432
Training_sample_huadong_2008_2010,45.00,acc_RF,0.957274011299435
Training_sample_huadong_2008_2010,5.00,acc_test,0.9
Training_sample_huadong_2008_2010,5.00,acc_RF,0.9331210191082803
Training_sample_huadong_2008_2010,50.00,acc_test,0.9086330935251798
Training_sample_huadong_2008_2010,50.00,acc_RF,0.9586908166507785
Training_sample_huadong_2008_2010,55.00,acc_test,0.9050359712230216
Training_sample_huadong_2008_2010,55.00,acc_RF,0.9578278451761987
Training_sample_huadong_2008_2010,60.00,acc_test,0.9079136690647482
Training_sample_huadong_2008_2010,60.00,acc_RF,0.9557850145618215
Training_sample_huadong_2008_2010,65.00,acc_test,0.9151079136690647
Training_sample_huadong_2008_2010,65.00,acc_RF,0.957956489855781
Training_sample_huadong_2008_2010,70.00,acc_test,0.9079136690647482
